Customer,State,Coverage,Education,Gender,Income,Location_Code,Marital_Status,Sales_Channel,Vehicle_Class,Vehicle_Size,flag
QC35222,California,Basic,Bachelor,F,48269,Urban,Married,Web,Four-Door Car,Medsize,1
AE98193,Washington,Basic,High School or Below,M,0,Suburban,Single,Branch,SUV,Medsize,2
TM23514,Oregon,Extended,College,M,60145,Urban,Single,Web,SUV,Medsize,2
WB38524,California,Basic,High School or Below,M,46131,Suburban,Married,Branch,Two-Door Car,Small,2
QZ42725,Washington,Basic,Bachelor,F,0,Suburban,Single,Agent,Four-Door Car,Medsize,2
SG81493,Arizona,Premium,Bachelor,M,46384,Rural,Married,Web,Four-Door Car,Medsize,1
QP80741,Washington,Basic,College,F,0,Suburban,Married,Agent,Four-Door Car,Medsize,1
FN69743,California,Basic,College,M,26802,Suburban,Married,Agent,Two-Door Car,Medsize,1
BW52697,California,Basic,College,F,86132,Urban,Married,Call Center,Two-Door Car,Medsize,2
WP41146,California,Basic,High School or Below,F,0,Suburban,Married,Branch,Four-Door Car,Medsize,2
HP55391,Oregon,Basic,Master,M,0,Suburban,Married,Agent,Four-Door Car,Medsize,1
US45383,California,Premium,College,M,88340,Suburban,Married,Branch,Two-Door Car,Medsize,2
XC16387,Arizona,Basic,High School or Below,F,46072,Rural,Single,Branch,Four-Door Car,Medsize,2
VU53417,Arizona,Extended,High School or Below,M,23051,Suburban,Divorced,Agent,Two-Door Car,Medsize,2
KR62797,Arizona,Basic,High School or Below,F,83297,Suburban,Married,Call Center,SUV,Medsize,2
SV34223,California,Basic,College,F,58317,Suburban,Married,Call Center,Four-Door Car,Medsize,2
JO13576,California,Basic,High School or Below,F,21861,Suburban,Married,Agent,Four-Door Car,Medsize,2
AC75391,Arizona,Basic,College,F,35091,Suburban,Divorced,Branch,Two-Door Car,Medsize,1
LP47259,Arizona,Extended,High School or Below,M,0,Suburban,Single,Branch,Sports Car,Medsize,1
VF21395,Oregon,Basic,Bachelor,M,82655,Suburban,Married,Web,Two-Door Car,Medsize,2
JG36165,California,Extended,Bachelor,M,0,Suburban,Single,Web,Two-Door Car,Medsize,2
TC84427,Oregon,Basic,High School or Below,F,61080,Urban,Single,Call Center,Four-Door Car,Medsize,2
LI85491,Oregon,Basic,High School or Below,F,0,Suburban,Single,Agent,SUV,Small,2
VE55982,Nevada,Basic,Bachelor,M,54000,Suburban,Divorced,Call Center,Two-Door Car,Medsize,1
EF87528,Arizona,Basic,College,M,26802,Suburban,Married,Agent,Two-Door Car,Medsize,3
EP18940,Oregon,Extended,Bachelor,F,0,Suburban,Married,Call Center,Four-Door Car,Medsize,2
TH68362,California,Basic,College,F,0,Suburban,Married,Agent,Four-Door Car,Medsize,1
OH83248,California,Premium,Master,M,57394,Urban,Married,Call Center,Four-Door Car,Medsize,2
VM34210,Washington,Basic,College,F,0,Urban,Married,Web,SUV,Medsize,2
ZM28138,Arizona,Basic,Bachelor,F,40153,Suburban,Single,Agent,Four-Door Car,Medsize,2
EL70257,California,Basic,High School or Below,F,48315,Suburban,Divorced,Agent,Four-Door Car,Medsize,2
XE10977,Oregon,Basic,High School or Below,F,71684,Urban,Married,Web,Two-Door Car,Medsize,2
WE19034,Oregon,Basic,College,M,24409,Suburban,Married,Agent,Four-Door Car,Small,1
XZ81226,Arizona,Extended,Bachelor,F,43478,Suburban,Married,Branch,Four-Door Car,Medsize,2
RA63927,Oregon,Extended,High School or Below,M,30886,Rural,Married,Web,Two-Door Car,Medsize,2
YQ50209,Arizona,Basic,High School or Below,M,0,Suburban,Single,Agent,Four-Door Car,Small,1
QT46430,California,Basic,College,F,12780,Rural,Married,Call Center,Sports Car,Medsize,2
ZZ22858,Arizona,Basic,Bachelor,F,70619,Rural,Married,Branch,Luxury Car,Medsize,2
IG94072,Oregon,Extended,High School or Below,F,75425,Suburban,Married,Branch,Sports Car,Large,2
HQ32112,Arizona,Extended,High School or Below,M,68131,Rural,Married,Branch,SUV,Medsize,2
OL27257,Nevada,Premium,College,F,20394,Urban,Married,Branch,Two-Door Car,Medsize,2
ZU96776,California,Extended,Bachelor,M,0,Suburban,Single,Call Center,Two-Door Car,Large,2
HO40387,California,Basic,Master,M,0,Suburban,Married,Call Center,Two-Door Car,Small,2
BW94308,Washington,Basic,High School or Below,F,92766,Suburban,Married,Agent,Two-Door Car,Large,2
EV78251,Oregon,Basic,Doctor,F,0,Suburban,Single,Branch,Two-Door Car,Small,2
IB39821,Arizona,Basic,Bachelor,M,88708,Urban,Married,Agent,Sports Car,Small,2
NU64028,Nevada,Basic,Bachelor,M,35693,Suburban,Divorced,Branch,Sports Car,Small,2
XS17260,Oregon,Premium,College,M,88340,Suburban,Married,Branch,Two-Door Car,Medsize,2
UQ73252,Arizona,Basic,College,M,26802,Suburban,Married,Agent,Two-Door Car,Medsize,2
LK91880,California,Basic,College,F,26448,Rural,Married,Agent,Sports Car,Medsize,2
PO56357,California,Basic,High School or Below,F,64604,Urban,Married,Web,Four-Door Car,Medsize,2
HA82735,Arizona,Extended,Bachelor,F,0,Suburban,Single,Web,SUV,Medsize,2
PB63095,Washington,Extended,High School or Below,M,0,Suburban,Single,Agent,Two-Door Car,Medsize,2
UK29448,Oregon,Basic,Bachelor,M,0,Suburban,Single,Agent,Two-Door Car,Medsize,2
ST78006,Oregon,Basic,High School or Below,F,0,Rural,Married,Call Center,Four-Door Car,Medsize,2
PY98628,Arizona,Extended,High School or Below,M,0,Suburban,Single,Agent,Two-Door Car,Medsize,2
AM89558,Nevada,Basic,College,M,26802,Suburban,Married,Agent,Two-Door Car,Medsize,1
TP20456,Arizona,Extended,High School or Below,M,45310,Suburban,Married,Agent,Luxury SUV,Medsize,2
SP56326,Arizona,Premium,High School or Below,F,12195,Suburban,Divorced,Branch,Four-Door Car,Medsize,2
RA27021,Nevada,Extended,Bachelor,F,26410,Rural,Married,Agent,Four-Door Car,Large,1
XJ97760,California,Basic,Master,M,35039,Urban,Single,Call Center,Four-Door Car,Medsize,2
RY23571,California,Basic,Bachelor,F,75615,Rural,Married,Branch,Four-Door Car,Medsize,2
JT47995,Arizona,Extended,College,F,0,Suburban,Married,Web,Luxury SUV,Large,2
NK53938,Oregon,Basic,Master,M,45181,Suburban,Married,Call Center,Four-Door Car,Medsize,2
IB36843,California,Basic,Master,M,90607,Urban,Single,Web,Four-Door Car,Medsize,2
YR85283,Nevada,Extended,High School or Below,F,26021,Urban,Married,Agent,SUV,Small,2
CO25601,Washington,Basic,High School or Below,M,0,Suburban,Single,Agent,Four-Door Car,Medsize,2
